epoch,step,train_KL_loss,train_Total_loss,train_concept_loss,train_orth_loss,train_rec_loss,val_KL_loss,val_Total_loss,val_concept_loss,val_orth_loss,val_rec_loss
0,9,0.14352624118328094,0.12257789820432663,4.347248077392578,0.005303059238940477,0.09977960586547852,,,,,
0,19,1.144675850868225,0.09569147229194641,3.343585968017578,0.0031781932339072227,0.07832646369934082,,,,,
0,28,,,,,,1.7968418598175049,0.07227153331041336,2.9858996868133545,0.0032762966584414244,0.05666881799697876
1,29,1.7884492874145508,0.07128726691007614,2.9814627170562744,0.0038020177744328976,0.05560166388750076,,,,,
1,39,2.0493643283843994,0.06433603167533875,2.669872760772705,0.003437112318351865,0.05027875304222107,,,,,
1,49,2.3195338249206543,0.05930037796497345,2.236220598220825,0.0026891659945249557,0.047558244317770004,,,,,
1,57,,,,,,2.5610623359680176,0.05580264329910278,1.8634275197982788,0.0020291709806770086,0.046054061502218246
2,59,2.5770082473754883,0.05620076134800911,1.7585666179656982,0.0029854350723326206,0.04678507149219513,,,,,
2,69,2.7973990440368652,0.05338847637176514,1.5861804485321045,0.0018927600467577577,0.04505104944109917,,,,,
2,79,2.9409561157226562,0.05300920084118843,1.3457261323928833,0.005784709472209215,0.045094218105077744,,,,,
2,86,,,,,,3.105254888534546,0.05077308043837547,1.3091861009597778,0.002914532320573926,0.043613187968730927
3,89,3.153869152069092,0.050847865641117096,1.2579864263534546,0.0017447653226554394,0.04417744278907776,,,,,
3,99,3.313385486602783,0.049054861068725586,1.1497639417648315,0.001101891160942614,0.04305253177881241,,,,,
3,109,3.4193062782287598,0.04749127849936485,1.0877833366394043,0.0012251378502696753,0.04177314043045044,,,,,
3,115,,,,,,3.510065793991089,0.04777258262038231,1.0910345315933228,0.003474174765869975,0.041587479412555695
4,119,3.564560890197754,0.046915408223867416,1.0330755710601807,0.0025126831606030464,0.041211843490600586,,,,,
4,129,3.640359878540039,0.0464901328086853,0.9860957860946655,0.0037506911903619766,0.04077311232686043,,,,,
4,139,3.7200093269348145,0.04640012979507446,1.000589370727539,0.002791092498227954,0.0408017635345459,,,,,
4,144,,,,,,3.760007381439209,0.045148737728595734,0.9853315949440002,0.0021484680473804474,0.03975478187203407
5,149,3.7606186866760254,0.04549004137516022,1.0077834129333496,0.0018687001429498196,0.040039777755737305,,,,,
5,159,3.850334882736206,0.0441150888800621,0.9000211954116821,0.0017144468147307634,0.03923358768224716,,,,,
5,169,3.8535306453704834,0.04371269419789314,0.92055344581604,0.0016590559389442205,0.038739580661058426,,,,,
5,173,,,,,,3.9283084869384766,0.043443892151117325,0.9133251309394836,0.0019102051155641675,0.038455940783023834
6,179,3.9541895389556885,0.043144240975379944,0.8778986930847168,0.001583439065143466,0.03839851915836334,,,,,
6,189,4.0143327713012695,0.043401870876550674,0.8874368667602539,0.003954414278268814,0.0381336584687233,,,,,
6,199,4.0199689865112305,0.042435236275196075,0.8692905902862549,0.0015540063614025712,0.037737783044576645,,,,,
6,202,,,,,,4.049351215362549,0.042402151972055435,0.8678669929504395,0.001974866958335042,0.03762735053896904
7,209,4.07821798324585,0.04218278080224991,0.8273919224739075,0.0014677331782877445,0.0377114936709404,,,,,
7,219,4.1125030517578125,0.04305468872189522,0.8835284113883972,0.0014141080901026726,0.03831310197710991,,,,,
7,229,4.113980293273926,0.041239093989133835,0.8031182289123535,0.0014549659099429846,0.03689137101173401,,,,,
7,231,,,,,,4.11696720123291,0.04177061840891838,0.8411338329315186,0.0019463652279227972,0.037134502083063126
8,239,4.152682781219482,0.041070155799388885,0.7429314851760864,0.0019289120100438595,0.03692818805575371,,,,,
8,249,4.147097587585449,0.04141885042190552,0.7928876280784607,0.0026499158702790737,0.03688295930624008,,,,,
8,259,4.178038597106934,0.041003718972206116,0.7615106105804443,0.0024101047310978174,0.03667236492037773,,,,,
8,260,,,,,,4.14711856842041,0.041442591696977615,0.8280941247940063,0.0017566366586834192,0.036909319460392
9,269,4.1686506271362305,0.04156890884041786,0.8077419996261597,0.002479884307831526,0.03699253499507904,,,,,
9,279,4.1282758712768555,0.041586488485336304,0.8586664199829102,0.0013905104715377092,0.03697377070784569,,,,,
9,289,4.173253059387207,0.04246378690004349,0.9258690476417542,0.001854432513937354,0.037421826273202896,,,,,
9,289,,,,,,4.164996147155762,0.04130547121167183,0.8229473233222961,0.0016029932303354144,0.03682848438620567
10,299,4.198287010192871,0.04167623445391655,0.7734295129776001,0.002314919140189886,0.037304118275642395,,,,,
10,309,4.190113067626953,0.04136313870549202,0.7224726676940918,0.0014302229974418879,0.03742282837629318,,,,,
10,318,,,,,,4.170386791229248,0.04125399887561798,0.8205615282058716,0.0016637572553008795,0.03677673637866974
11,319,4.1904754638671875,0.04170294106006622,0.8165433406829834,0.0012429979396983981,0.037329718470573425,,,,,
11,329,4.193325996398926,0.039728570729494095,0.692176342010498,0.0018369012977927923,0.03585837781429291,,,,,
11,339,4.196820259094238,0.040784869343042374,0.8143415451049805,0.0012315851636230946,0.036424875259399414,,,,,
11,347,,,,,,4.188118934631348,0.04117943346500397,0.8155619502067566,0.001841460121795535,0.03669145330786705
12,349,4.22580623626709,0.041646990925073624,0.8377695083618164,0.0018645897507667542,0.03704296797513962,,,,,
12,359,4.200148582458496,0.04051651433110237,0.8233360648155212,0.0012792703928425908,0.03610197827219963,,,,,
12,369,4.224575042724609,0.04008837416768074,0.6432148218154907,0.0014412940945476294,0.03654179722070694,,,,,
12,376,,,,,,4.224157810211182,0.04092086851596832,0.8020200133323669,0.0019042183412238955,0.036487679928541183
