epoch,step,train_KL_loss,train_Total_loss,train_concept_loss,train_orth_loss,train_rec_loss,val_KL_loss,val_Total_loss,val_concept_loss,val_orth_loss,val_rec_loss
0,9,1.28605055809021,0.07862268388271332,3.2691121101379395,0.0015906644985079765,0.06194613128900528,,,,,
0,19,2.964643955230713,0.06509333103895187,2.527029037475586,0.002029662486165762,0.05202261358499527,,,,,
0,28,,,,,,3.8376848697662354,0.052373915910720825,2.0641472339630127,0.002529899124056101,0.04150881990790367
1,29,3.858344078063965,0.053382452577352524,2.185702323913574,0.0029368337709456682,0.04182799160480499,,,,,
1,39,4.047573089599609,0.046312116086483,1.8014508485794067,0.004500231705605984,0.036364343017339706,,,,,
1,49,4.225232124328613,0.0414002500474453,1.4576420783996582,0.0036816145293414593,0.033333465456962585,,,,,
1,57,,,,,,4.311291694641113,0.03966432809829712,1.3639135360717773,0.001846851664595306,0.032432276755571365
2,59,4.379299640655518,0.039902154356241226,1.254847764968872,0.004023295361548662,0.03277946263551712,,,,,
2,69,4.477612495422363,0.03764447569847107,1.1810803413391113,0.0007143430993892252,0.031551431864500046,,,,,
2,79,4.6423420906066895,0.036631274968385696,1.090268850326538,0.002725113183259964,0.030588489025831223,,,,,
2,86,,,,,,4.7198100090026855,0.036980725824832916,1.0974674224853516,0.002953661372885108,0.030855456367135048
3,89,4.675739765167236,0.03734106197953224,1.101900577545166,0.0029067432042211294,0.03120345063507557,,,,,
3,99,4.891958713531494,0.03605765104293823,0.9593782424926758,0.005142764188349247,0.03018328733742237,,,,,
3,109,4.853973388671875,0.035430699586868286,1.012099027633667,0.001070703030563891,0.0301075242459774,,,,,
3,115,,,,,,4.893974781036377,0.03506404533982277,0.9607275128364563,0.0012209556298330426,0.029967278242111206
4,119,4.932312965393066,0.035039015114307404,0.8318948745727539,0.0023730306420475245,0.03035561367869377,,,,,
4,129,5.013149261474609,0.03420024365186691,0.8261549472808838,0.00182044948451221,0.029655247926712036,,,,,
4,139,4.938701629638672,0.0344720296561718,0.8677431344985962,0.000979941338300705,0.029887938871979713,,,,,
4,144,,,,,,4.990623474121094,0.033871181309223175,0.8743677139282227,0.0010026071686297655,0.029248913750052452
